Track name, Artist name, Album, Playlist name, Type, ISRC
All Star,Smash Mouth,Astro Lounge,Favorite Songs,Favorite,USIR19902220
Aloha (feat. GUN40),10k.Caash,Aloha,Favorite Songs,Favorite,USUM71904622
Señorita,Shawn Mendes,Señorita,Favorite Songs,Favorite,USUM71911283
"Dear Maria, Count Me In",All Time Low,"So Wrong, It's Right (Deluxe Version)",Favorite Songs,Favorite,USHR20747017
Scotty Doesn't Know,Lustra,Left for Dead,Favorite Songs,Favorite,uscgj0612390
Sex (Cheat Codes X Kris Kross Amsterdam),Cheat Codes,Sex (Cheat Codes X Kris Kross Amsterdam),Favorite Songs,Favorite,NLZ541600026
3am,Boy Epic,3am,Favorite Songs,Favorite,TCADW1874961
Drive,Diljit Dosanjh,Con.Fi.Den.Tial,Favorite Songs,Favorite,INS181800292
"You're Gonna Go Far, Kid",The Offspring,"Rise And Fall, Rage And Grace",Favorite Songs,Favorite,USSM10801605
Someone New,Astrid S,Someone New,Favorite Songs,Favorite,NOUM71900001
Uno,Ambjaay,Uno,Favorite Songs,Favorite,USSM11903445
"Dear Maria, Count Me In",All Time Low,"So Wrong, It's Right",Favorite Songs,Favorite,USHR20747017
High (& Dua Lipa),Whethan,Fifty Shades Freed (Original Motion Picture Soundtrack),Favorite Songs,Favorite,USQ4E1703343
For You (Fifty Shades Freed) (& Rita Ora),Liam Payne,Fifty Shades Freed (Original Motion Picture Soundtrack),Favorite Songs,Favorite,USQ4E1703341
Gotham (acoustic),Claes Nilsson,Gotham,Favorite Songs,Favorite,SE4RG1916402
Gotham,Claes Nilsson,Gotham,Favorite Songs,Favorite,SE4RG1916401
You Don't Even Know Me,SLANDER,Monstercat Uncaged Vol. 6,Favorite Songs,Favorite,CA6D21800266
Anarchist,YUNGBLUD,YUNGBLUD,Favorite Songs,Favorite,USUG11800005
Riot!,Arrested Youth,Fear,Favorite Songs,Favorite,GBKPL1821814
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Lost Frequencies Remix,Martin Garrix,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) [Lost Frequencies Remix],Favorite Songs,Favorite,NLM5S1900588
Somebody That I Used To Know,Gotye,Making Mirrors,Favorite Songs,Favorite,AUZS21100040
Hamsterdam,Bart B More,Hamsterdam,Favorite Songs,Favorite,NLM5S1900551
Additional,Leif Bent,Additional,Favorite Songs,Favorite,DEMA61900440
The Half,Ruben,Melancholic,Favorite Songs,Favorite,NOKAW1808020
Let's Hurt Tonight,OneRepublic,Oh My My,Favorite Songs,Favorite,USUM71608414
Friendzone,GOAT,Friendzone,Favorite Songs,Favorite,GBLFP1853598
La Seine - Extrait de la bande originale un monstre à Paris,Vanessa Paradis,BOF Un Monstre A Paris (Limited Edition),Favorite Songs,Favorite,FR86U1100001
Stuck,Lost Kings,Stuck,Favorite Songs,Favorite,USRC11802675
Familiar,Liam Payne,Familiar,Favorite Songs,Favorite,GBUM71800362
These Are The Times (feat. JRM),Martin Garrix,These Are The Times (feat. JRM),Favorite Songs,Favorite,NLM5S1900598
Right Now,Nick Jonas,Right Now,Favorite Songs,Favorite,USUM71810623
Seeing Blind,Niall Horan,Flicker (Deluxe),Favorite Songs,Favorite,USUG11701395
Keanu Reeves,Logic,Confessions of a Dangerous Mind,Favorite Songs,Favorite,USUM71900411
BLACKJACK (feat. YBN Cordae) - Remix,Aminé,BLACKJACK (Remix),Favorite Songs,Favorite,USUM71900591
We Don't Care,Sigala,Brighter Days,Favorite Songs,Favorite,GBCEN1800096
"Tere Naal Nachna (From ""Nawabzaade"")",Badshah,"Tere Naal Nachna (From ""Nawabzaade"")",Favorite Songs,Favorite,INS181801564
Longer Than I Thought (feat. Joe Jonas),Loote,single.,Favorite Songs,Favorite,USUM71806746
Danza Kuduro,Don Omar,Meet The Orphans,Favorite Songs,Favorite,USUM71020778
We Came Here To Party,LMFAO,Sorry For Party Rocking,Favorite Songs,Favorite,USUM71108094
Reminds Me Of You,LMFAO,Sorry For Party Rocking,Favorite Songs,Favorite,USUM71108095
Let The Bass Kick In Miami - Exclusive 10th Anniversary Edit,Chuckie,10 Years of Cr2 Records,Favorite Songs,Favorite,GBHAD1500082
The Night We Met,Lord Huron,Strange Trails,Favorite Songs,Favorite,US53Q1200103
Like A G6,Far East Movement,Free Wired,Favorite Songs,Favorite,USUM71008138
Where Them Girls At,David Guetta,In The Good Feeling Club 2012,Favorite Songs,Favorite,GB28K1100001
Whistle,Flo Rida,Just Dance 2012,Favorite Songs,Favorite,USAT21201745
Yeh Baby,Garry Sandhu,Yeh Baby,Favorite Songs,Favorite,FR2X41808337
Birds,Imagine Dragons,Birds,Favorite Songs,Favorite,USUM71816168
Khadke Glassy,Yo Yo Honey Singh,Jabariya Jodi,Favorite Songs,Favorite,INZ031405775
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),Enrique Iglesias,SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),Favorite Songs,Favorite,USRC11700058
Kids (Ain't All Right),Grace Mitchell,Kids (Ain't All Right),Favorite Songs,Favorite,USUM71616183
Just My Type,The Vamps,Night & Day (Day Edition),Favorite Songs,Favorite,GBUM71801469
First Car,GOAT,First Car,Favorite Songs,Favorite,GBLFP1785794
Can We Dance,The Vamps,Meet The Vamps,Favorite Songs,Favorite,GBUM71304973
Personal,The Vamps,Night & Day (Day Edition),Favorite Songs,Favorite,GBUM71701760
Jackie Chan,Tiësto,Jackie Chan,Favorite Songs,Favorite,CYA111800123
Asian Jake Paul,iDubbbz,Asian Jake Paul,Favorite Songs,Favorite,QZ9JZ1795924
Tri Poloski,Davay,Tri Poloski,Favorite Songs,Favorite,TCACR1636274
Muchh,Diljit Dosanjh,Muchh,Favorite Songs,Favorite,INS921901781
Polaroid,Jonas Blue,Blue,Favorite Songs,Favorite,GBUM71806109
Good Things Fall Apart (with Jon Bellion),ILLENIUM,Good Things Fall Apart (with Jon Bellion),Favorite Songs,Favorite,USUG11901088
Life Is Fun,Boyinaband,Life Is Fun,Favorite Songs,Favorite,QZDA61875094
High Hopes,The Mayries,High Hopes,Favorite Songs,Favorite,SE5IB1900066
hot girl bummer,blackbear,hot girl bummer,Favorite Songs,Favorite,USUG11902959
Come Alive,Bart B More,Come Alive,Favorite Songs,Favorite,NLM5S1900649
Wanted,OneRepublic,Wanted,Favorite Songs,Favorite,USUM71916513
Counting Stars,Alex Goot,"Alex Goot & Friends, Vol. 3",Favorite Songs,Favorite,GBDMT1400035
Crawling,Alex Goot,Crawling,Favorite Songs,Favorite,QM24S1922976
Let Me Down Slowly,Alex Goot,Let Me Down Slowly,Favorite Songs,Favorite,QM24S1910718
Personal,HRVY,Talk To Ya - EP,Favorite Songs,Favorite,GBUM71705474
Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],ILLENIUM,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],Favorite Songs,Favorite,USUG11901833
Yes,LMFAO,Party Rock,Favorite Songs,Favorite,USUM70972024
New Thang,Party Magnum,Hip Hop & Pop Groove,Favorite Songs,Favorite,USV351446440
Somebody's Idiot,Stash Konig,Somebody's Idiot,Favorite Songs,Favorite,TCADP1838861
Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,Favorite Songs,Favorite,DEUM71807062
Kind of Love,Rat City,Kind of Love (feat. Isak Heim),Favorite Songs,Favorite,NOAJR1900006
Circles,Post Malone,Hollywood's Bleeding,Favorite Songs,Favorite,USUM71915699
Allergic,Post Malone,Hollywood's Bleeding,Favorite Songs,Favorite,USUM71915722
Hold Me While You Wait,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,Favorite Songs,Favorite,DEUM71900680
Somebody To Love,OneRepublic,Somebody To Love,Favorite Songs,Favorite,USUM71916176
Thief,Ansel Elgort,Thief,Favorite Songs,Favorite,USUM71700298
3 Nights,Dominic Fike,"Don't Forget About Me, Demos",Favorite Songs,Favorite,USQX91802455
In The Room Where You Sleep,Dead Man's Bones,Dead Man's Bones,Favorite Songs,Favorite,USEP40921007
Lalala,Y2K,Lalala,Favorite Songs,Favorite,USSM11904230
Strip That Down,Liam Payne,Strip That Down,Favorite Songs,Favorite,GBUM71701628
Love Me Less (feat. Kim Petras),MAX,Love Me Less (feat. Kim Petras),Favorite Songs,Favorite,USQX91902169
Red,Taylor Swift,Red,Favorite Songs,Favorite,USCJY1231020
Outside (feat. Ellie Goulding),Calvin Harris,Motion,Favorite Songs,Favorite,GBARL1401201
All Time Low,Jon Bellion,All Time Low,Favorite Songs,Favorite,USUM71701923
Hollywood's Bleeding,Post Malone,Hollywood's Bleeding,Favorite Songs,Favorite,USUM71915730
all the kids are depressed,Jeremy Zucker,glisten,Favorite Songs,Favorite,USUM71804195
Nice To Meet Ya,Niall Horan,Nice To Meet Ya,Favorite Songs,Favorite,USUG11902961
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],Favorite Songs,Favorite,USQX91300809
I Feel It Coming,The Weeknd,Starboy,Favorite Songs,Favorite,USUG11601012
Starboy,The Weeknd,Starboy,Favorite Songs,Favorite,USUG11600976
Teeth,5 Seconds of Summer,Teeth,Favorite Songs,Favorite,USUG11902528
molly,iann dior,nothings ever good enough,Favorite Songs,Favorite,QMEU31905407
I Know What You Did Last Summer,Shawn Mendes,Handwritten,Favorite Songs,Favorite,USUM71516597
River Flows In You,Miranda Boumedin,Movie Themes,Favorite Songs,Favorite,SE5IB1600499
I Found A Girl,The Vamps,Wake Up (Deluxe),Favorite Songs,Favorite,GBUM71505937
What Your Father Says,The Vamps,Night & Day (Day Edition),Favorite Songs,Favorite,GBUM71800614
Face to Face,Rex Orange County,Face to Face,Favorite Songs,Favorite,USRC11902238
I Don't Know,Jack & Jack,I Don't Know,Favorite Songs,Favorite,USUM71803373
She's Crazy but She's Mine,Alex Sparrow,She's Crazy but She's Mine,Favorite Songs,Favorite,SE5Z21800101
Got Me Good,Alex Sparrow,Got Me Good,Favorite Songs,Favorite,SE5Z21800301
Babylon,5 Seconds of Summer,Youngblood (Deluxe),Favorite Songs,Favorite,GBUM71800859
Used To Love (with Dean Lewis),Martin Garrix,Used To Love (with Dean Lewis),Favorite Songs,Favorite,NLM5S1900686
Never Be Friends,Alex Sparrow,Never Be Friends,Favorite Songs,Favorite,RUB421901037
Baby You're Mine,Alex Sparrow,Baby You're Mine,Favorite Songs,Favorite,SE5Z21800401
Blue Orchid,The White Stripes,Get Behind Me Satan,Favorite Songs,Favorite,GBBKS0562545
Little Do You Know,Alex & Sierra,It's About Us,Favorite Songs,Favorite,USSM11404193
The Drum,The Seige,Boneshaker,Favorite Songs,Favorite,TCADD1752249
Takeaway (feat. Lennon Stella),The Chainsmokers,World War Joy...Push My Luck,Favorite Songs,Favorite,USQX91901353
"Hauli Hauli (From ""De De Pyaar De"")",Garry Sandhu,Party Songs Neha Kakkar,Favorite Songs,Favorite,INS181900941
Wake Up In The Sky,Scarzz,Lit Jawns,Favorite Songs,Favorite,QM22L1800868
